accession	source	species	lineage	called_species	called_lineage	correct
SRR5657482	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5216962	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1792288	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791973	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791878	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
ERR2815609	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5657416	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR7851360	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5486079	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR7236411	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5216942	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5216950	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5657372	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791842	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791916	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
ERR3283007	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5216959	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791766	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR7236385	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1791858	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR7617421	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR1792310	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
ERR502499	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
ERR2815556	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
